parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,idx0,idx1,idx2,inst,j,pname,pstyle,ptype,usecol,zone
pname:p_inst:0_ptype:pp_pstyle:m_i:19_j:61_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,19,,,,0,61,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:19_j:64_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,19,,,,0,64,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:19_j:67_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,19,,,,0,67,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:19_j:70_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,19,,,,0,70,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:19_j:73_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,19,,,,0,73,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:19_j:76_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,19,,,,0,76,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:19_j:79_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,19,,,,0,79,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:19_j:82_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,19,,,,0,82,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:19_j:85_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,19,,,,0,85,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:19_j:88_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,19,,,,0,88,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:25_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,25,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:28_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,28,p,m,pp,,1
pname:p_inst:0_ptype:pp_pstyle:m_i:22_j:31_zone:1,log,factor,1.0,0.01,100.0,k,1.0,0.0,1,22,,,,0,31,p,m,pp,,1
